ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
23-201-062               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-062               ,37555,KB_Style                                          ,494072,Red LED,
23-201-062               ,849,KB_Type                                           ,16500,Wired,
23-201-063               ,2725,Common_Package Contents                           ,,,1 x RK-9100xRBR Mechanical Keyboard   1 x Wrist rest  1 x User Manual  1 x Installation Disk  1 x Key Puller  8 x Gaming keys (AWSD and arrow keys)
23-201-063               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-063               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-063               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-063               ,859,KB_Features                                       ,,,100% Cherry MX Brown Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Red LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-063               ,36681,KB_Key Switch Type                                ,442777,Brown Cherry MX,
23-201-063               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-063               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-063               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-063               ,841,KB_Model                                          ,,,Apollo RK-9100xRBR
23-201-063               ,861,KB_Mouse Included                                 ,7098,No,
23-201-063               ,846,KB_Normal Keys                                    ,7088,104,
23-201-063               ,4872,KB_Operating System Supported                     ,,,Windows XP/ Vista/ 7 / 8
23-201-063               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-063               ,37555,KB_Style                                          ,494072,Red LED,
23-201-063               ,849,KB_Type                                           ,16500,Wired,
23-201-064               ,2725,Common_Package Contents                           ,,,1 x RK-9100xB Mechanical Keyboard   1 x Wrist rest  1 x User Manual  1 x Installation Disk  1 x Key Puller  8 x Gaming keys (AWSD and arrow keys)
23-201-064               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-064               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-064               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-064               ,859,KB_Features                                       ,,,100% Cherry MX Blue Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Blue LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-064               ,36681,KB_Key Switch Type                                ,442776,Blue Cherry MX,
23-201-064               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-064               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-064               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-064               ,841,KB_Model                                          ,,,Apollo RK-9100xB
23-201-064               ,861,KB_Mouse Included                                 ,7098,No,
23-201-064               ,846,KB_Normal Keys                                    ,7088,104,
23-201-064               ,4872,KB_Operating System Supported                     ,,,Windows XP/ Vista/ 7 / 8
23-201-064               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-064               ,37555,KB_Style                                          ,494071,Blue LED,
23-201-064               ,849,KB_Type                                           ,16500,Wired,
23-201-064R              ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-064R              ,844,KB_Design Style                                   ,50684,Gaming,
23-201-064R              ,10671,KB_Dimensions                                     ,,,17.5 (L) x 5.7 (W) x 1 (H) inches
23-201-064R              ,859,KB_Features                                       ,,,100% Cherry MX Blue Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Blue LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-064R              ,36681,KB_Key Switch Type                                ,442776,Blue Cherry MX,
23-201-064R              ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-064R              ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-064R              ,841,KB_Model                                          ,,,Apollo RK-9100xB
23-201-064R              ,861,KB_Mouse Included                                 ,7098,No,
23-201-064R              ,846,KB_Normal Keys                                    ,7088,104,
23-201-064R              ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-064R              ,849,KB_Type                                           ,16500,Wired,
23-201-065               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-065               ,10671,KB_Dimensions                                     ,,,11.7 (L) x 4.9 (W) x 1.4 (H) inches
23-201-065               ,859,KB_Features                                       ,,,Cherry MX mechanical switches    32bit ARM processor assist with ultra fast response times    128KB onchip memory to support preprogrammed functions    Swappable key placement for a more native feel in different OSes (Linux/Unix/Mac OS X / Windows)    Aluminum casing provide a sleek elegant style and premium feel    Firmware upgradable over USB    Plug and play for ease of use    Portable. Your customized settings will stay even after a power down or switching to a different computer
23-201-065               ,36681,KB_Key Switch Type                                ,442776,Blue Cherry MX,
23-201-065               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-065               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-065               ,841,KB_Model                                          ,,,Micro RK-9000 BL
23-201-065               ,861,KB_Mouse Included                                 ,7098,No,
23-201-065               ,846,KB_Normal Keys                                    ,,,66
23-201-065               ,849,KB_Type                                           ,16500,Wired,
23-201-066               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-066               ,10671,KB_Dimensions                                     ,,,11.7 (L) x 4.9 (W) x 1.4 (H) inches
23-201-066               ,859,KB_Features                                       ,,,Cherry MX mechanical switches    32bit ARM processor assist with ultra fast response times    128KB onchip memory to support preprogrammed functions    Swappable key placement for a more native feel in different OSes (Linux/Unix/Mac OS X / Windows)    Aluminum casing provide a sleek elegant style and premium feel    Firmware upgradable over USB    Plug and play for ease of use    Portable. Your customized settings will stay even after a power down or switching to a different computer
23-201-066               ,36681,KB_Key Switch Type                                ,442777,Brown Cherry MX,
23-201-066               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-066               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-066               ,841,KB_Model                                          ,,,Micro RK-9000 BR
23-201-066               ,861,KB_Mouse Included                                 ,7098,No,
23-201-066               ,846,KB_Normal Keys                                    ,,,66
23-201-066               ,849,KB_Type                                           ,16500,Wired,
23-201-067               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-067               ,844,KB_Design Style                                   ,7076,Slim,
23-201-067               ,10671,KB_Dimensions                                     ,,,0.98" x 17.13" x 4.69" (H x W x D)
23-201-067               ,859,KB_Features                                       ,,,"Compact Design with Chiclet keys    Responsive, Silent, and Comfortable    Matte Finish with Simple Elegantly Designed    Plug & Play    Up to 10 Million Keystrokes    Compatible with Windows XP/Vista/7/8"
23-201-067               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-067               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-067               ,841,KB_Model                                          ,,,Line RK-500
23-201-067               ,861,KB_Mouse Included                                 ,7098,No,
23-201-067               ,846,KB_Normal Keys                                    ,7089,105,
23-201-067               ,4872,KB_Operating System Supported                     ,,,Windows XP/Vista/7/8
23-201-067               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-067               ,849,KB_Type                                           ,16500,Wired,
23-201-069               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-069               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-069               ,10671,KB_Dimensions                                     ,,,1.38" x 19.13" x 6.77" (H x W x D)
23-201-069               ,859,KB_Features                                       ,,,"Weight: 1.39 lbs.    3 dedicated macro keys    Three continuous stroke    Swappable WASD & Directional key function     Up to 19key rollover *    Plug and play    USB2.0    *19 key rollover limited to the following keys: Q, A, Z, W, S, X, E, D, C, Ctrl-L, AIt-L, B, Shift-L, Space, Tab, Up, Down, Left, Right"
23-201-069               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-069               ,843,KB_Keyboard Interface                             ,316175,USB 2.0,
23-201-069               ,841,KB_Model                                          ,,,RK-8300
23-201-069               ,861,KB_Mouse Included                                 ,7098,No,
23-201-069               ,846,KB_Normal Keys                                    ,7091,107,
23-201-069               ,4872,KB_Operating System Supported                     ,,,Windows 95/ 98/ME/ NT/XP/VIsta /7
23-201-069               ,849,KB_Type                                           ,16500,Wired,
23-201-071               ,2725,Common_Package Contents                           ,,,1 x RGB80 Mechanical Keyboard   1 x User Manual  1 x Installation Disk  1 x Key Puller  10 x Gaming keys (QWEASD and arrow keys)
23-201-071               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-071               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-071               ,10671,KB_Dimensions                                     ,,,1.10" x 14.60" x 5.30" (H x W x D)
23-201-071               ,859,KB_Features                                       ,,,100% Blue Mechanical Key Switches    16.8 Million Colors [Currently limited to 228 colors. Future software updates will unlock all colors.]    *Please go to Rosewill.com for the latest software updates.    Individual LED Backlit Keys    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    On Board Memory    Up to 50 Macro Keys    5 Levels of Brightness Control + 1 Breathing Mode    N-Key & 6-Key Rollover    Gold-Plated Connectors    Includes 10 Transparent Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    71" High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-071               ,36681,KB_Key Switch Type                                ,458187,Blue Mechanical,
23-201-071               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-071               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-071               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-071               ,841,KB_Model                                          ,,,RGB80
23-201-071               ,861,KB_Mouse Included                                 ,7098,No,
23-201-071               ,846,KB_Normal Keys                                    ,7082,87,
23-201-071               ,4872,KB_Operating System Supported                     ,,,Windows XP/ Vista/ 7 / 8
23-201-071               ,37555,KB_Style                                          ,487045,No,
23-201-071               ,849,KB_Type                                           ,16500,Wired,
23-201-072               ,2725,Common_Package Contents                           ,,,1 x RK-9100xBBL Mechanical Keyboard   1 x Wrist rest  1 x User Manual  1 x Installation Disk  1 x Key Puller  8 x Gaming keys (AWSD and arrow keys)
23-201-072               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-072               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-072               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-072               ,859,KB_Features                                       ,,,100% Cherry MX Black Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Blue LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-072               ,36681,KB_Key Switch Type                                ,442775,Black Cherry MX,
23-201-072               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-072               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-072               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-072               ,841,KB_Model                                          ,,,Apollo RK-9100xBBL
23-201-072               ,861,KB_Mouse Included                                 ,7098,No,
23-201-072               ,846,KB_Normal Keys                                    ,7088,104,
23-201-072               ,4872,KB_Operating System Supported                     ,,,Windows XP / Vista / 7 / 8
23-201-072               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-072               ,37555,KB_Style                                          ,494071,Blue LED,
23-201-072               ,849,KB_Type                                           ,16500,Wired,
23-201-073               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-073               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-073               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-073               ,859,KB_Features                                       ,,,100% Cherry MX Red Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Blue LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-073               ,36681,KB_Key Switch Type                                ,442779,Red Cherry MX,
23-201-073               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-073               ,843,KB_Keyboard Interface                             ,316175,USB 2.0,
23-201-073               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-073               ,841,KB_Model                                          ,,,Apollo RK-9100xBRE
23-201-073               ,861,KB_Mouse Included                                 ,7098,No,
23-201-073               ,846,KB_Normal Keys                                    ,7088,104,
23-201-073               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-073               ,37555,KB_Style                                          ,494071,Blue LED,
23-201-073               ,849,KB_Type                                           ,16500,Wired,
23-201-074               ,2725,Common_Package Contents                           ,,,1 x RK-9100xRBL Mechanical Keyboard   1 x Wrist rest  1 x User Manual  1 x Installation Disk  1 x Key Puller  8 x Gaming keys (AWSD and arrow keys)
23-201-074               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-074               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-074               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-074               ,859,KB_Features                                       ,,,100% Cherry MX Black Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Red LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-074               ,36681,KB_Key Switch Type                                ,442775,Black Cherry MX,
23-201-074               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-074               ,843,KB_Keyboard Interface                             ,7071,USB,
23-201-074               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-074               ,841,KB_Model                                          ,,,Apollo RK-9100xRBL
23-201-074               ,861,KB_Mouse Included                                 ,7098,No,
23-201-074               ,846,KB_Normal Keys                                    ,7088,104,
23-201-074               ,4872,KB_Operating System Supported                     ,,,Windows XP / Vista / 7 / 8
23-201-074               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-074               ,37555,KB_Style                                          ,494072,Red LED,
23-201-074               ,849,KB_Type                                           ,16500,Wired,
23-201-075               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-075               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-075               ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-075               ,859,KB_Features                                       ,,,100% Cherry MX Red Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Red LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-075               ,36681,KB_Key Switch Type                                ,442779,Red Cherry MX,
23-201-075               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-075               ,843,KB_Keyboard Interface                             ,316175,USB 2.0,
23-201-075               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-075               ,841,KB_Model                                          ,,,Apollo RK-9100xRRE
23-201-075               ,861,KB_Mouse Included                                 ,7098,No,
23-201-075               ,846,KB_Normal Keys                                    ,7088,104,
23-201-075               ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-075               ,37555,KB_Style                                          ,494072,Red LED,
23-201-075               ,849,KB_Type                                           ,16500,Wired,
23-201-075R              ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-075R              ,844,KB_Design Style                                   ,50684,Gaming,
23-201-075R              ,10671,KB_Dimensions                                     ,,,Keyboard: 1.00" x 17.50" x 5.70" (H x W x D)  Wrist pad: 0.55" x 17.50" x 2.40" (H x W x D)
23-201-075R              ,859,KB_Features                                       ,,,100% Cherry MX Red Mechanical Key Switches    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    Up to 50 Macro Keys    Individually Red LED Backlit Keys    3 Levels of Brightness Control + 1 Breathing Mode    N-Key Rollover    Built in Headphone & Microphone Pass-Through Jacks    2 Built in High-Speed USB 2.0 Hub    Detachable Wrist Rest for Maximum Support and Comfort    Gold-Plated Connectors to Reduce Latency    Includes 8 Orange Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-075R              ,36681,KB_Key Switch Type                                ,442779,Red Cherry MX,
23-201-075R              ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-075R              ,843,KB_Keyboard Interface                             ,316175,USB 2.0,
23-201-075R              ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-075R              ,841,KB_Model                                          ,,,Apollo RK-9100xRRE
23-201-075R              ,861,KB_Mouse Included                                 ,7098,No,
23-201-075R              ,846,KB_Normal Keys                                    ,7088,104,
23-201-075R              ,845,KB_Palm Rest                                      ,7078,Detachable,
23-201-075R              ,37555,KB_Style                                          ,494072,Red LED,
23-201-075R              ,849,KB_Type                                           ,16500,Wired,
23-201-076               ,2725,Common_Package Contents                           ,,,1 x RGB80 BR Mechanical Keyboard   1 x User Manual  1 x Installation Disk  1 x Key Puller  10 x Gaming keys (QWEASD and arrow keys)
23-201-076               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-076               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-076               ,10671,KB_Dimensions                                     ,,,1.10" x 14.60" x 5.30" (H x W x L)
23-201-076               ,859,KB_Features                                       ,,,100% Brown Mechanical Key Switches    16.8 Million Colors [Currently limited to 228 colors. Future software updates will unlock all colors.]  *Please go to Rosewill.com for the latest software updates.    Individual LED Backlit Keys    Custom Programmable Keyboard    5 Profiles with Quick Switch Keys    On Board Memory    Up to 50 Macro Keys    5 Levels of Brightness Control + 1 Breathing Mode    N-Key & 6-Key Rollover    Gold-Plated Connectors    Includes 10 Transparent Gaming Keys with Key Puller    Multimedia Keys with Gaming Mode    71" High Quality Braided Fiber Cable    Soft Rubberized Surface
23-201-076               ,36681,KB_Key Switch Type                                ,487119,Brown Mechanical,
23-201-076               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-076               ,843,KB_Keyboard Interface                             ,316175,USB 2.0,
23-201-076               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-076               ,841,KB_Model                                          ,,,RGB80 BR
23-201-076               ,861,KB_Mouse Included                                 ,7098,No,
23-201-076               ,846,KB_Normal Keys                                    ,7082,87,
23-201-076               ,4872,KB_Operating System Supported                     ,,,Windows XP/ Vista/ 7 / 8
23-201-076               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-076               ,37555,KB_Style                                          ,487045,No,
23-201-076               ,849,KB_Type                                           ,16500,Wired,
23-201-079               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-079               ,844,KB_Design Style                                   ,7076,Slim,
23-201-079               ,10671,KB_Dimensions                                     ,,,0.83" x 14.39" x 4.88" (H x W x D)
23-201-079               ,859,KB_Features                                       ,,,Bluetooth keyboard     With a 5 inch large size EMC mouse touchpad     Support for smartphone and tablet (*Apple iOS will not support touchpad mouse function)    Android system hot keys for easy use    LED indication for function display    Support multimedia hotkeys    Build-in Alkaline AAA battery
23-201-079               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-079               ,841,KB_Model                                          ,,,BK-700
23-201-079               ,861,KB_Mouse Included                                 ,7097,Yes,Built-in Touchpad
23-201-079               ,846,KB_Normal Keys                                    ,265050,78,
23-201-079               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-079               ,849,KB_Type                                           ,7096,Bluetooth Wireless,
23-201-080               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-080               ,844,KB_Design Style                                   ,7076,Slim,
23-201-080               ,10671,KB_Dimensions                                     ,,,0.54" x 10.24" x 5.39" (H x W x D)
23-201-080               ,859,KB_Features                                       ,,,Bluetooth 3.0 HID keyboard     2- pop out stand design for support smartphone or tablet    With lithium polymer rechargeable battery power     Aluminum metal bottom case with scissors type keys    Android system hot keys for easy use    2 LED indication for function display
23-201-080               ,36681,KB_Key Switch Type                                ,469733,No,
23-201-080               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-080               ,841,KB_Model                                          ,,,BK-500A
23-201-080               ,861,KB_Mouse Included                                 ,7098,No,
23-201-080               ,846,KB_Normal Keys                                    ,,,81
23-201-080               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-080               ,37555,KB_Style                                          ,520488,Android Hot Keys,
23-201-080               ,849,KB_Type                                           ,7096,Bluetooth Wireless,
23-201-081               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-081               ,844,KB_Design Style                                   ,7076,Slim,
23-201-081               ,10671,KB_Dimensions                                     ,,,0.54" x 10.24" x 5.39" (H x W x D)
23-201-081               ,859,KB_Features                                       ,,,Bluetooth 3.0 HID keyboard     2- pop out stand design for support smartphone or tablet    With lithium polymer rechargeable battery power     Aluminum metal bottom case with scissors type keys    Special iOS design hot keys for easy use    2 LED indication for function display
23-201-081               ,36681,KB_Key Switch Type                                ,469733,No,
23-201-081               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-081               ,841,KB_Model                                          ,,,BK-500i
23-201-081               ,861,KB_Mouse Included                                 ,7098,No,
23-201-081               ,846,KB_Normal Keys                                    ,,,81
23-201-081               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-081               ,37555,KB_Style                                          ,520489,ios Hot Keys,
23-201-081               ,849,KB_Type                                           ,7096,Bluetooth Wireless,
23-201-082               ,2725,Common_Package Contents                           ,,,1 x RK-9000V2 Keyboard   1 x USB to Mini USB cable   1 x PS/2 to Mini USB cable   1 x User Manual
23-201-082               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-082               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-082               ,10671,KB_Dimensions                                     ,,,1.52" x 17.32" x 5.43" (H x W x D)
23-201-082               ,859,KB_Features                                       ,,,"Gaming-Grade Lifetime of up to 50 Million Clicks with Cherry's Principle of Gold-Crosspoint Contacts    Thick Durable Metal Inner Chassis    N-Key Rollover (PS2 Mode) or 6-Key Rollover (USB Mode)    Windows Lock Function with a Dedicated LED Indicator    Multimedia Functions and Shortcut Keys    High Quality Laser Printed Keycaps    Upgraded 58"" Braided L-Type Removable USB Cable for Maximum Portability and Mobility. (The L-Type Cable is Used to Reduce the Direct Damage to the Mini-USB Port while Heavily Gaming)    Gold Plated USB and PS2 Connector to Resist Corrosion and Ensure Low Latency    Highly Durable Professional Gaming Keyboard    Extremely Responsive and Uniquely Accurate for Hours of Comfortable Gaming    Upgraded High Quality Dual Layer PCB for Enhanced Features, Efficiency, and Reliability    Made in Taiwan"
23-201-082               ,36681,KB_Key Switch Type                                ,442776,Blue Cherry MX,
23-201-082               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-082               ,843,KB_Keyboard Interface                             ,7072,USB or PS/2,
23-201-082               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-082               ,841,KB_Model                                          ,,,RK-9000V2
23-201-082               ,861,KB_Mouse Included                                 ,7098,No,
23-201-082               ,846,KB_Normal Keys                                    ,7088,104,
23-201-082               ,4872,KB_Operating System Supported                     ,,,Microsoft ME/ 2000/ XP/ Vista/ 7
23-201-082               ,37555,KB_Style                                          ,487045,No,
23-201-082               ,849,KB_Type                                           ,16500,Wired,
23-201-083               ,2725,Common_Package Contents                           ,,,1 x RK-9000V2 BR Keyboard   1 x USB to Mini USB cable   1 x PS/2 to Mini USB cable   1 x User Manual
23-201-083               ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-083               ,844,KB_Design Style                                   ,50684,Gaming,
23-201-083               ,10671,KB_Dimensions                                     ,,,1.52" x 17.32" x 5.43" (H x W x D)
23-201-083               ,859,KB_Features                                       ,,,"Gaming-Grade Lifetime of up to 50 Million Clicks with Cherry's Principle of Gold-Crosspoint Contacts    Thick Durable Metal Inner Chassis    N-Key Rollover (PS2 Mode) or 6-Key Rollover (USB Mode)    Windows Lock Function with a Dedicated LED Indicator    Multimedia Functions and Shortcut Keys    High Quality Laser Printed Keycaps    Upgraded 58"" Braided L-Type Removable USB Cable for Maximum Portability and Mobility. (The L-Type Cable is Used to Reduce the Direct Damage to the Mini-USB Port while Heavily Gaming)    Gold Plated USB and PS2 Connector to Resist Corrosion and Ensure Low Latency    Highly Durable Professional Gaming Keyboard    Extremely Responsive and Uniquely Accurate for Hours of Comfortable Gaming    Upgraded High Quality Dual Layer PCB for Enhanced Features, Efficiency, and Reliability    Made in Taiwan"
23-201-083               ,36681,KB_Key Switch Type                                ,442777,Brown Cherry MX,
23-201-083               ,848,KB_Keyboard Color                                 ,8064,Black,
23-201-083               ,843,KB_Keyboard Interface                             ,7072,USB or PS/2,
23-201-083               ,37281,KB_Mechanical Keyboard                            ,454422,Yes,
23-201-083               ,841,KB_Model                                          ,,,RK-9000V2 BR
23-201-083               ,861,KB_Mouse Included                                 ,7098,No,
23-201-083               ,846,KB_Normal Keys                                    ,7088,104,
23-201-083               ,4872,KB_Operating System Supported                     ,,,Microsoft ME/ 2000/ XP/ Vista/ 7 / 8
23-201-083               ,845,KB_Palm Rest                                      ,7079,N/A,
23-201-083               ,37555,KB_Style                                          ,487045,No,
23-201-083               ,849,KB_Type                                           ,16500,Wired,
23-201-083R              ,2725,Common_Package Contents                           ,,,1 x RK-9000V2 BR Keyboard   1 x USB to Mini USB cable   1 x PS/2 to Mini USB cable   1 x User Manual
23-201-083R              ,1656,KB_Brand                                          ,13419,Rosewill,
23-201-083R              ,844,KB_Design Style                                   ,50684,Gaming,
23-201-083R              ,10671,KB_Dimensions                                     ,,,1.52" x 17.32" x 5.43" (H x W x D)
